DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
1	 4.170000	 0.023958	 -0.006134	 0.124304	 1.361231	 -8.900177	 4.295780	 0.034342	 -0.035923	 0.005657	 0.353271	 0.509033	 0.086670	 0.999999	 0.000209	 -0.000053	 0.001085
2	 4.170000	 -0.009151	 -0.078898	 0.010601	 -1.068771	 -8.914844	 4.148971	 0.010862	 -0.038998	 -0.042974	 0.390137	 0.388916	 0.149658	 1.000000	 -0.000080	 -0.000689	 0.000092
1	 4.180000	 0.040717	 -0.010452	 0.140289	 1.340138	 -8.837485	 4.303861	 0.038593	 -0.029919	 0.000495	 0.359619	 0.513428	 0.080078	 0.999999	 0.000355	 -0.000091	 0.001224
2	 4.180000	 0.008570	 -0.105897	 0.028070	 -1.033473	 -9.030879	 4.159237	 0.040471	 -0.057442	 -0.036864	 0.390137	 0.388916	 0.149658	 1.000000	 0.000075	 -0.000924	 0.000245
1	 4.190000	 0.059906	 -0.015965	 0.213397	 1.365932	 -8.769933	 4.293323	 0.045478	 -0.020821	 -0.004161	 0.359619	 0.511230	 0.082275	 0.999998	 0.000523	 -0.000138	 0.001862
2	 4.190000	 0.046868	 -0.132435	 0.040789	 -1.058291	 -9.127305	 4.240427	 0.079991	 -0.057795	 -0.028668	 0.392090	 0.395264	 0.147217	 0.999999	 0.000409	 -0.001156	 0.000356
1	 4.192967	 0.083957	 -0.018973	 0.221316	 1.273271	 -8.777328	 4.334879	 0.051927	 -0.012060	 -0.004885	 0.357666	 0.506836	 0.080322	 0.999998	 0.000733	 -0.000164	 0.001931
2	 4.200000	 0.104258	 -0.159415	 0.049470	 -1.075027	 -9.182634	 4.333831	 0.118100	 -0.064363	 -0.028775	 0.394287	 0.391113	 0.147217	 0.999999	 0.000910	 -0.001391	 0.000433
1	 4.200000	 0.108881	 -0.020023	 0.300147	 1.235790	 -8.856627	 4.316264	 0.063950	 -0.015395	 0.004766	 0.353271	 0.509033	 0.086670	 0.999996	 0.000951	 -0.000172	 0.002619
2	 4.210000	 0.175891	 -0.182237	 0.062387	 -1.036260	 -9.112862	 4.407826	 0.149274	 -0.062626	 -0.017905	 0.392334	 0.386963	 0.142822	 0.999997	 0.001536	 -0.001589	 0.000547
1	 4.210000	 0.138561	 -0.018124	 0.315814	 1.177060	 -8.915203	 4.297055	 0.065435	 -0.021015	 0.010777	 0.359863	 0.504883	 0.082275	 0.999995	 0.001210	 -0.000155	 0.002756
2	 4.210000	 0.255278	 -0.198175	 0.083801	 -1.084661	 -9.049010	 4.497606	 0.167936	 -0.064276	 -0.008842	 0.390137	 0.386719	 0.140625	 0.999996	 0.002229	 -0.001728	 0.000735
1	 4.220000	 0.165700	 -0.013638	 0.364119	 1.154744	 -9.060589	 4.301822	 0.069712	 -0.021165	 0.009382	 0.359619	 0.511230	 0.078125	 0.999994	 0.001446	 -0.000114	 0.003178
2	 4.220000	 0.333110	 -0.211275	 0.095955	 -1.142168	 -8.979997	 4.478524	 0.162375	 -0.054230	 0.000694	 0.390137	 0.386963	 0.142822	 0.999994	 0.002908	 -0.001841	 0.000843
1	 4.230000	 0.198100	 -0.014382	 0.375447	 1.033684	 -9.057240	 4.279755	 0.070117	 -0.014681	 0.001655	 0.357666	 0.504883	 0.080322	 0.999993	 0.001729	 -0.000120	 0.003277
2	 4.230000	 0.000000	 0.000000	 0.000000	 -1.213593	 -8.929868	 4.552934	 0.145528	 -0.047107	 0.013216	 0.390137	 0.386963	 0.142822	 1.000000	 0.000000	 0.000000	 0.000000
1	 4.240000	 0.000000	 -0.000000	 0.000000	 1.074878	 -9.101632	 4.195047	 0.076873	 -0.014104	 0.008669	 0.357666	 0.504639	 0.084473	 1.000000	 0.000000	 -0.000000	 0.000000
2	 4.240000	 0.056818	 -0.003712	 0.017062	 -1.153656	 -9.064517	 4.553064	 0.117572	 -0.050129	 0.020649	 0.392334	 0.386963	 0.142822	 1.000000	 0.000496	 -0.000032	 0.000149
1	 4.240000	 0.047940	 0.005970	 0.015537	 1.167951	 -9.089569	 4.163469	 0.103437	 -0.013243	 0.016566	 0.359619	 0.517822	 0.084473	 1.000000	 0.000418	 0.000052	 0.000136
2	 4.250000	 0.092032	 -0.001714	 0.042092	 -1.042854	 -9.214998	 4.373426	 0.078297	 -0.047963	 0.023947	 0.392334	 0.386719	 0.140625	 1.000000	 0.000803	 -0.000015	 0.000367
1	 4.250000	 0.102187	 0.023807	 0.133797	 1.267371	 -9.113042	 4.098761	 0.121541	 -0.000233	 0.033692	 0.355469	 0.509033	 0.082275	 0.999999	 0.000892	 0.000209	 0.001167
